Datetime,Symbol,Contract_month,Open,High,Low,Close,Volume
2018-12-10T08:00:00.000000Z,NQ,2018-12,6633.75,6707.0,6535.25,6608.5,376248.0
2018-12-10T12:00:00.000000Z,NQ,2018-12,6584.25,6743.0,6560.0,6709.0,291830.0
2018-12-10T16:00:00.000000Z,NQ,2018-12,6685.0,6731.0,6663.0,6689.0,22522.0
2018-12-10T20:00:00.000000Z,NQ,2018-12,6667.25,6730.0,6655.0,6695.5,20915.0
2018-12-11T00:00:00.000000Z,NQ,2018-12,6674.25,6750.0,6666.75,6676.0,20798.0
2018-12-11T04:00:00.000000Z,NQ,2018-12,6676.25,6824.7504,6672.5,6798.2496,48560.0
2018-12-11T08:00:00.000000Z,NQ,2018-12,6774.5,6888.0,6720.2496,6772.7504,323756.0
2018-12-11T12:00:00.000000Z,NQ,2018-12,6748.5,6788.0,6651.25,6731.0,294897.0
2018-12-11T16:00:00.000000Z,NQ,2018-12,6706.5,6775.0,6671.75,6762.7504,32694.0
2018-12-11T20:00:00.000000Z,NQ,2018-12,6737.2496,6795.0,6731.5,6787.0,21788.0
2018-12-12T00:00:00.000000Z,NQ,2018-12,6762.0,6830.0,6733.5,6778.7504,25886.0
2018-12-12T04:00:00.000000Z,NQ,2018-12,6758.7504,6826.0,6755.2496,6812.5,39627.0
2018-12-12T08:00:00.000000Z,NQ,2018-12,6787.5,6907.5,6779.0,6884.2496,277216.0
2018-12-12T12:00:00.000000Z,NQ,2018-12,6860.5,6910.7504,6763.0,6830.0,257318.0
2018-12-12T16:00:00.000000Z,NQ,2018-12,6766.2496,6823.5,6747.2496,6783.0,29102.0
2018-12-12T20:00:00.000000Z,NQ,2018-12,6782.7504,6840.0,6778.7504,6835.0,16834.0
2018-12-13T00:00:00.000000Z,NQ,2018-12,6810.5,6862.2496,6791.5,6795.2496,25552.0
2018-12-13T04:00:00.000000Z,NQ,2018-12,6795.0,6841.7504,6765.5,6810.2496,31443.0
2018-12-13T08:00:00.000000Z,NQ,2018-12,6787.2496,6892.2496,6745.0,6811.2496,303777.0
2018-12-13T12:00:00.000000Z,NQ,2018-12,6753.2496,6836.2496,6723.0,6793.5,241817.0
2018-12-13T16:00:00.000000Z,NQ,2018-12,6767.5,6808.2496,6728.0,6759.0,23654.0
2018-12-13T20:00:00.000000Z,NQ,2018-12,6733.2496,6759.2496,6680.0,6740.2496,28488.0
2018-12-14T00:00:00.000000Z,NQ,2018-12,6689.25,6750.0,6652.0,6680.25,25491.0
2018-12-14T04:00:00.000000Z,NQ,2018-12,6654.5,6720.5,6650.75,6710.5,34700.0
2018-12-14T08:00:00.000000Z,NQ,2018-12,6685.0,6818.0,6641.5,6700.5,332661.0
2018-12-14T12:00:00.000000Z,NQ,2018-12,6647.5,6712.0,6586.0,6618.0,281309.0
2018-12-14T16:00:00.000000Z,NQ,2018-12,6595.5,6643.25,6583.25,6607.25,18842.0
2018-12-16T16:00:00.000000Z,NQ,2018-12,6580.0,6652.0,6575.0,6635.0,5705.0
2018-12-16T20:00:00.000000Z,NQ,2018-12,6612.75,6707.25,6612.75,6652.5,15510.0
2018-12-17T00:00:00.000000Z,NQ,2018-12,6631.5,6666.5,6591.25,6635.5,20734.0
2018-12-17T04:00:00.000000Z,NQ,2018-12,6614.75,6660.25,6580.25,6606.25,26805.0
2018-12-17T08:00:00.000000Z,NQ,2018-12,6584.0,6656.0,6501.5,6636.25,321042.0
2018-12-17T12:00:00.000000Z,NQ,2018-12,6613.25,6669.0,6401.25,6503.0,406966.0
2018-12-17T16:00:00.000000Z,NQ,2018-12,6458.25,6531.5,6449.75,6513.0,37083.0
2018-12-17T20:00:00.000000Z,NQ,2018-12,6490.75,6543.0,6469.25,6497.5,30372.0
2018-12-18T00:00:00.000000Z,NQ,2018-12,6475.0,6530.75,6463.25,6510.5,29422.0
2018-12-18T04:00:00.000000Z,NQ,2018-12,6487.5,6562.0,6471.75,6541.75,37499.0
2018-12-18T08:00:00.000000Z,NQ,2018-12,6519.5,6571.0,6476.75,6521.5,283805.0
2018-12-18T12:00:00.000000Z,NQ,2018-12,6499.5,6595.0,6435.75,6513.5,313200.0
2018-12-18T16:00:00.000000Z,NQ,2018-12,6491.75,6518.25,6438.25,6497.0,33079.0
2018-12-18T20:00:00.000000Z,NQ,2018-12,6476.0,6521.5,6472.75,6521.25,15480.0
2018-12-19T00:00:00.000000Z,NQ,2018-12,6500.75,6540.0,6489.0,6516.75,20318.0
2018-12-19T04:00:00.000000Z,NQ,2018-12,6495.75,6563.75,6495.5,6537.25,23741.0
2018-12-19T08:00:00.000000Z,NQ,2018-12,6516.25,6610.0,6472.0,6579.25,213758.0
2018-12-19T12:00:00.000000Z,NQ,2018-12,6559.25,6610.0,6282.25,6381.25,464154.0
2018-12-19T16:00:00.000000Z,NQ,2018-12,6341.25,6404.75,6310.0,6377.25,42847.0
2018-12-19T20:00:00.000000Z,NQ,2018-12,6359.75,6406.0,6270.0,6295.5,34178.0
2018-12-20T00:00:00.000000Z,NQ,2018-12,6278.75,6358.0,6273.0,6324.0,38099.0
2018-12-20T04:00:00.000000Z,NQ,2018-12,6310.0,6400.0,6296.25,6382.25,42806.0
2018-12-20T08:00:00.000000Z,NQ,2018-12,6363.5,6408.0,6196.5,6258.5,403469.0
2018-12-20T12:00:00.000000Z,NQ,2018-12,6239.25,6334.5,6161.75,6262.5,462216.0
2018-12-20T16:00:00.000000Z,NQ,2018-12,6244.75,6333.5,6235.5,6304.75,38752.0
2018-12-20T20:00:00.000000Z,NQ,2018-12,6286.5,6321.25,6270.0,6295.5,17563.0
2018-12-21T00:00:00.000000Z,NQ,2019-03,6295.5,6333.0,6251.5,6271.0,28727.0
2018-12-21T04:00:00.000000Z,NQ,2018-12,6251.25,6320.0,6248.0,6289.0,46987.0
2018-12-21T08:00:00.000000Z,NQ,2018-12,6268.0,6350.0,6177.0,6204.25,350743.0
2018-12-21T12:00:00.000000Z,NQ,2019-03,6183.0,6200.0,6030.0,6088.25,375779.0
2018-12-21T16:00:00.000000Z,NQ,2019-03,6063.25,6095.25,6053.5,6080.75,28538.0
2018-12-23T16:00:00.000000Z,NQ,2019-03,6049.75,6087.5,6015.5,6063.25,17099.0
2018-12-23T20:00:00.000000Z,NQ,2019-03,6063.25,6111.0,6056.5,6096.5,17996.0
2018-12-24T00:00:00.000000Z,NQ,2019-03,6097.0,6139.0,6085.0,6103.0,18007.0
2018-12-24T04:00:00.000000Z,NQ,2019-03,6103.25,6128.5,6002.25,6003.0,36439.0
2018-12-24T08:00:00.000000Z,NQ,2019-03,6003.0,6120.0,5941.25,5981.25,270171.0
2018-12-24T12:00:00.000000Z,NQ,2019-03,5981.0,6020.0,5888.75,5916.0,79964.0
2018-12-25T16:00:00.000000Z,NQ,2019-03,5902.0,5931.0,5820.5,5909.75,24347.0
2018-12-25T20:00:00.000000Z,NQ,2019-03,5909.0,5929.75,5848.0,5858.0,35111.0
2018-12-26T00:00:00.000000Z,NQ,2019-03,5857.25,5931.0,5837.5,5909.0,30826.0
2018-12-26T04:00:00.000000Z,NQ,2019-03,5909.75,5981.0,5895.75,5959.75,37986.0
2018-12-26T08:00:00.000000Z,NQ,2019-03,5959.0,6080.0,5935.0,6068.5,226386.0
2018-12-26T12:00:00.000000Z,NQ,2019-03,6068.25,6300.5,6062.25,6297.0,247517.0
2018-12-26T16:00:00.000000Z,NQ,2019-03,6277.25,6332.0,6244.5,6270.0,47414.0
2018-12-26T20:00:00.000000Z,NQ,2019-03,6251.25,6288.75,6248.75,6262.0,17398.0
2018-12-27T00:00:00.000000Z,NQ,2019-03,6262.25,6305.0,6191.25,6214.5,42238.0
2018-12-27T04:00:00.000000Z,NQ,2019-03,6192.5,6222.5,6143.5,6190.5,65423.0
2018-12-27T08:00:00.000000Z,NQ,2019-03,6191.0,6242.75,6106.25,6150.75,287450.0
2018-12-27T12:00:00.000000Z,NQ,2019-03,6150.75,6324.0,6053.25,6324.0,273020.0
2018-12-27T16:00:00.000000Z,NQ,2019-03,6303.0,6354.0,6271.0,6299.75,43650.0
2018-12-27T20:00:00.000000Z,NQ,2019-03,6299.5,6363.0,6293.0,6337.5,23579.0
2018-12-28T00:00:00.000000Z,NQ,2019-03,6337.75,6354.5,6283.25,6325.25,32743.0
2018-12-28T04:00:00.000000Z,NQ,2019-03,6325.25,6400.0,6312.75,6338.5,48996.0
2018-12-28T08:00:00.000000Z,NQ,2019-03,6338.5,6367.5,6243.75,6317.0,253193.0
2018-12-28T12:00:00.000000Z,NQ,2019-03,6317.25,6422.75,6274.0,6318.5,244143.0
2018-12-28T16:00:00.000000Z,NQ,2019-03,6298.0,6321.75,6280.75,6316.0,12133.0
2018-12-30T16:00:00.000000Z,NQ,2019-03,6312.25,6377.5,6311.5,6350.0,8841.0
2018-12-30T20:00:00.000000Z,NQ,2019-03,6349.75,6375.0,6335.0,6345.75,11933.0
2018-12-31T00:00:00.000000Z,NQ,2019-03,6345.75,6381.5,6344.0,6345.25,10493.0
2018-12-31T04:00:00.000000Z,NQ,2019-03,6345.5,6390.75,6336.0,6369.25,13806.0
2018-12-31T08:00:00.000000Z,NQ,2019-03,6369.0,6397.25,6283.0,6325.75,158630.0
2018-12-31T12:00:00.000000Z,NQ,2019-03,6325.5,6375.0,6294.75,6361.75,144345.0
2018-12-31T16:00:00.000000Z,NQ,2019-03,6345.25,6378.5,6333.0,6352.25,21418.0
2019-01-01T16:00:00.000000Z,NQ,2019-03,6349.5,6405.0,6344.0,6378.0,9054.0
2019-01-01T20:00:00.000000Z,NQ,2019-03,6378.25,6396.5,6258.75,6277.25,28795.0
2019-01-02T00:00:00.000000Z,NQ,2019-03,6276.5,6304.5,6154.0,6173.0,39579.0
2019-01-02T04:00:00.000000Z,NQ,2019-03,6173.5,6235.5,6171.25,6225.0,47064.0
2019-01-02T08:00:00.000000Z,NQ,2019-03,6196.5,6387.0,6186.25,6344.5,287607.0
2019-01-02T12:00:00.000000Z,NQ,2019-03,6323.0,6430.0,6317.5,6398.0,215693.0
2019-01-02T16:00:00.000000Z,NQ,2019-03,6373.25,6400.0,6207.0,6225.25,41847.0
2019-01-02T20:00:00.000000Z,NQ,2019-03,6224.75,6272.25,6220.5,6233.0,19492.0
2019-01-03T00:00:00.000000Z,NQ,2019-03,6233.0,6249.75,6188.25,6228.5,33150.0
2019-01-03T04:00:00.000000Z,NQ,2019-03,6203.75,6280.0,6188.75,6246.75,38630.0
2019-01-03T08:00:00.000000Z,NQ,2019-03,6247.0,6318.0,6169.75,6254.0,330425.0
2019-01-03T12:00:00.000000Z,NQ,2019-03,6254.0,6281.5,6148.5,6173.5,249550.0
2019-01-03T16:00:00.000000Z,NQ,2019-03,6159.0,6201.5,6136.5,6146.5,31234.0
2019-01-03T20:00:00.000000Z,NQ,2019-03,6147.0,6226.5,6145.0,6204.25,29022.0
2019-01-04T00:00:00.000000Z,NQ,2019-03,6204.0,6279.0,6198.25,6264.0,32971.0
2019-01-04T04:00:00.000000Z,NQ,2019-03,6243.0,6300.0,6234.25,6252.0,35484.0
2019-01-04T08:00:00.000000Z,NQ,2019-03,6252.5,6435.0,6225.5,6404.75,327723.0
2019-01-04T12:00:00.000000Z,NQ,2019-03,6404.25,6486.0,6393.5,6460.0,228860.0
2019-01-04T16:00:00.000000Z,NQ,2019-03,6436.5,6462.0,6424.25,6431.75,17580.0
2019-01-06T16:00:00.000000Z,NQ,2019-03,6451.25,6510.0,6439.75,6472.5,16456.0
2019-01-06T20:00:00.000000Z,NQ,2019-03,6472.75,6500.0,6450.5,6454.5,18117.0
2019-01-07T00:00:00.000000Z,NQ,2019-03,6454.75,6488.0,6425.25,6427.0,23576.0
2019-01-07T04:00:00.000000Z,NQ,2019-03,6427.0,6457.5,6402.5,6432.25,32107.0
2019-01-07T08:00:00.000000Z,NQ,2019-03,6432.5,6539.5,6415.0,6519.0,229955.0
2019-01-07T12:00:00.000000Z,NQ,2019-03,6519.0,6556.5,6482.0,6524.25,174901.0
2019-01-07T16:00:00.000000Z,NQ,2019-03,6500.5,6533.75,6491.0,6514.5,17076.0
2019-01-07T20:00:00.000000Z,NQ,2019-03,6514.5,6546.0,6501.25,6528.75,15656.0
2019-01-08T00:00:00.000000Z,NQ,2019-03,6528.75,6554.0,6502.25,6532.5,20827.0
2019-01-08T04:00:00.000000Z,NQ,2019-03,6532.0,6581.5,6517.75,6545.0,29242.0
2019-01-08T08:00:00.000000Z,NQ,2019-03,6544.5,6607.0,6467.25,6520.0,270128.0
2019-01-08T12:00:00.000000Z,NQ,2019-03,6520.0,6595.0,6510.0,6564.5,178614.0
2019-01-08T16:00:00.000000Z,NQ,2019-03,6564.25,6600.0,6546.75,6569.5,17751.0
2019-01-08T20:00:00.000000Z,NQ,2019-03,6569.75,6627.0,6567.75,6597.5,22247.0
2019-01-09T00:00:00.000000Z,NQ,2019-03,6597.75,6623.75,6562.5,6585.25,22269.0
2019-01-09T04:00:00.000000Z,NQ,2019-03,6585.25,6619.0,6566.5,6587.25,24055.0
2019-01-09T08:00:00.000000Z,NQ,2019-03,6586.75,6646.25,6560.25,6616.5,233517.0
2019-01-09T12:00:00.000000Z,NQ,2019-03,6616.25,6668.0,6592.0,6640.25,170713.0
2019-01-09T16:00:00.000000Z,NQ,2019-03,6615.25,6642.25,6576.0,6577.0,19686.0
2019-01-09T20:00:00.000000Z,NQ,2019-03,6576.5,6605.25,6553.0,6583.0,27271.0
2019-01-10T00:00:00.000000Z,NQ,2019-03,6583.0,6599.75,6540.5,6549.5,22790.0
2019-01-10T04:00:00.000000Z,NQ,2019-03,6549.75,6596.25,6548.75,6568.0,26428.0
2019-01-10T08:00:00.000000Z,NQ,2019-03,6567.75,6632.5,6527.5,6605.0,194818.0
2019-01-10T12:00:00.000000Z,NQ,2019-03,6605.0,6661.5,6564.5,6654.25,199227.0
2019-01-10T16:00:00.000000Z,NQ,2019-03,6631.75,6665.5,6612.25,6621.0,19066.0
2019-01-10T20:00:00.000000Z,NQ,2019-03,6621.5,6640.25,6604.75,6614.25,14269.0
2019-01-11T00:00:00.000000Z,NQ,2019-03,6614.25,6653.25,6611.25,6627.25,12981.0
2019-01-11T04:00:00.000000Z,NQ,2019-03,6627.5,6654.0,6599.0,6599.0,20238.0
2019-01-11T08:00:00.000000Z,NQ,2019-03,6599.25,6630.0,6572.0,6599.5,174660.0
2019-01-11T12:00:00.000000Z,NQ,2019-03,6599.5,6639.0,6581.75,6634.75,121176.0
2019-01-11T16:00:00.000000Z,NQ,2019-03,6613.0,6640.5,6609.25,6615.5,7925.0
2019-01-13T16:00:00.000000Z,NQ,2019-03,6599.0,6619.5,6576.0,6581.5,6688.0
2019-01-13T20:00:00.000000Z,NQ,2019-03,6581.0,6605.0,6541.75,6550.0,16132.0
2019-01-14T00:00:00.000000Z,NQ,2019-03,6550.5,6581.5,6533.75,6573.5,15421.0
2019-01-14T04:00:00.000000Z,NQ,2019-03,6549.5,6584.5,6525.75,6540.25,24125.0
2019-01-14T08:00:00.000000Z,NQ,2019-03,6540.5,6597.0,6521.5,6566.25,187183.0
2019-01-14T12:00:00.000000Z,NQ,2019-03,6566.25,6600.0,6543.75,6552.25,101358.0
2019-01-14T16:00:00.000000Z,NQ,2019-03,6552.0,6592.0,6540.0,6567.0,19274.0
2019-01-14T20:00:00.000000Z,NQ,2019-03,6567.0,6622.75,6564.25,6593.5,21445.0
2019-01-15T00:00:00.000000Z,NQ,2019-03,6593.25,6630.0,6579.25,6582.5,18597.0
2019-01-15T04:00:00.000000Z,NQ,2019-03,6582.25,6606.75,6561.5,6573.5,31110.0
2019-01-15T08:00:00.000000Z,NQ,2019-03,6573.25,6700.0,6563.25,6674.0,241426.0
