Entry_Time,Side,Entry,Initial_SL,Qty,Capital_Start,Exit_Time,Exit,PnL
2010-06-09 15:00:00+00:00,SELL,1787.25,1824.781042898886,1.0,99950.96681290926,2010-06-10 05:30:00+00:00,1801.75,-14.5
2010-06-10 05:30:00+00:00,BUY,1797.75,1775.442805869146,1.0,99936.46681290926,2010-06-10 06:30:00+00:00,1797.75,0.0
2010-06-11 02:30:00+00:00,SELL,1822.25,1839.2555256532798,1.0,99936.46681290926,2010-06-11 03:30:00+00:00,1821.25,1.0
2010-06-11 04:30:00+00:00,BUY,1822.25,1803.4064996188831,1.0,99937.46681290926,2010-06-11 09:00:00+00:00,1808.75,-13.5
2010-06-11 09:30:00+00:00,BUY,1826.75,1799.9905728083509,1.0,99923.96681290926,2010-06-11 10:30:00+00:00,1838.5,11.75
2010-06-14 14:00:00+00:00,SELL,1855.0,1881.5033263718801,1.0,99935.71681290926,2010-06-14 15:00:00+00:00,1858.0,-3.0
2010-06-15 03:30:00+00:00,BUY,1850.75,1834.9134883130832,1.0,99932.71681290926,2010-06-15 04:30:00+00:00,1853.5,2.75
2010-06-16 03:00:00+00:00,SELL,1888.75,1900.7926500938922,1.0,99935.46681290926,2010-06-16 04:00:00+00:00,1885.75,3.0
2010-06-16 09:30:00+00:00,BUY,1897.5,1877.7084580640653,1.0,99938.46681290926,2010-06-17 10:30:00+00:00,1897.5,0.0
2010-06-18 02:30:00+00:00,SELL,1906.5,1918.073166528677,1.0,99938.46681290926,2010-06-18 10:30:00+00:00,1918.073166528677,-11.573166528676893
2010-06-18 11:00:00+00:00,BUY,1916.75,1896.103128307891,1.0,99926.89364638059,2010-06-21 11:00:00+00:00,1922.25,5.5
2010-06-21 11:00:00+00:00,SELL,1924.0,1944.6687559864279,1.0,99932.39364638059,2010-06-22 10:00:00+00:00,1907.25,16.75
2010-06-22 10:00:00+00:00,SELL,1902.75,1924.860719549026,1.0,99949.14364638059,2010-06-22 11:00:00+00:00,1908.25,-5.5
2010-06-22 14:30:00+00:00,SELL,1885.5,1914.6678907950757,1.0,99943.64364638059,2010-06-23 15:00:00+00:00,1873.0,12.5
2010-06-23 15:00:00+00:00,SELL,1873.0,1905.1507420574148,1.0,99956.14364638059,2010-06-28 11:30:00+00:00,1848.5,24.5
2010-06-28 11:30:00+00:00,SELL,1845.75,1871.2812094508643,1.0,99980.64364638059,2010-07-01 10:00:00+00:00,1734.0,111.75
2010-07-01 10:00:00+00:00,BUY,1716.5,1689.355406235662,1.0,100092.39364638059,2010-07-01 11:00:00+00:00,1707.25,-9.25
2010-07-01 21:30:00+00:00,BUY,1736.75,1714.771691009648,1.0,100083.14364638059,2010-07-01 22:30:00+00:00,1740.0,3.25
2010-07-02 03:30:00+00:00,SELL,1727.75,1742.3702611044575,1.0,100086.39364638059,2010-07-02 04:30:00+00:00,1732.0,-4.25
2010-07-02 11:30:00+00:00,SELL,1721.5,1749.5498896536237,1.0,100082.14364638059,2010-07-06 01:00:00+00:00,1724.25,-2.75
2010-07-06 02:00:00+00:00,BUY,1727.0,1714.7076434030532,1.0,100079.39364638059,2010-07-06 13:00:00+00:00,1736.0,9.0
2010-07-07 01:30:00+00:00,BUY,1730.75,1716.5023279931,1.0,100088.39364638059,2010-07-07 02:30:00+00:00,1731.5,0.75
2010-07-07 04:00:00+00:00,SELL,1728.5,1743.2969153433544,1.0,100089.14364638059,2010-07-07 09:30:00+00:00,1743.2969153433544,-14.796915343354385
2010-07-07 10:00:00+00:00,BUY,1746.5,1725.543516664239,1.0,100074.34673103724,2010-07-08 11:30:00+00:00,1787.0,40.5
2010-07-08 11:30:00+00:00,BUY,1777.0,1752.354446416811,1.0,100114.84673103724,2010-07-08 12:30:00+00:00,1784.75,7.75
2010-07-09 04:00:00+00:00,BUY,1797.0,1785.25849674047,1.0,100122.59673103724,2010-07-09 05:00:00+00:00,1794.25,-2.75
2010-07-09 08:30:00+00:00,SELL,1792.0,1805.1837966971523,1.0,100119.84673103724,2010-07-09 10:30:00+00:00,1801.5,-9.5
2010-07-09 10:30:00+00:00,BUY,1801.75,1783.0908984869984,1.0,100110.34673103724,2010-07-09 11:30:00+00:00,1800.5,-1.25
2010-07-12 03:00:00+00:00,SELL,1802.25,1815.5608459980365,1.0,100109.09673103724,2010-07-12 04:00:00+00:00,1803.5,-1.25
2010-07-12 08:00:00+00:00,BUY,1810.0,1799.1217718599933,1.0,100107.84673103724,2010-07-13 10:00:00+00:00,1827.75,17.75
2010-07-13 10:00:00+00:00,BUY,1831.5,1812.5585208373423,1.0,100125.59673103724,2010-07-14 07:30:00+00:00,1857.25,25.75
2010-07-14 07:30:00+00:00,SELL,1856.75,1866.3739523926715,1.0,100151.34673103724,2010-07-14 08:30:00+00:00,1850.75,6.0
2010-07-14 22:00:00+00:00,BUY,1859.5,1840.3933222381315,1.0,100157.34673103724,2010-07-15 10:00:00+00:00,1849.5,-10.0
2010-07-15 10:00:00+00:00,SELL,1834.0,1859.81505505819,1.0,100147.34673103724,2010-07-19 10:00:00+00:00,1811.75,22.25
2010-07-19 10:00:00+00:00,BUY,1798.25,1777.717527074268,1.0,100169.59673103724,2010-07-19 11:00:00+00:00,1797.25,-1.0
2010-07-19 15:00:00+00:00,BUY,1812.5,1786.6055706024854,1.0,100168.59673103724,2010-07-19 16:00:00+00:00,1817.25,4.75
2010-07-20 01:30:00+00:00,SELL,1804.5,1819.0762170000442,1.0,100173.34673103724,2010-07-20 02:30:00+00:00,1807.75,-3.25
2010-07-20 05:30:00+00:00,SELL,1792.25,1808.2493940931136,1.0,100170.09673103724,2010-07-20 11:00:00+00:00,1808.2493940931136,-15.999394093113551
